Jahre;Geschlecht;Monatliches Nettoeinkommen;Bevölkerung in Hauptwohnsitzhaushalte
2020;Insgesamt;Kein Einkommen;12059
2020;Insgesamt;unter 500 EUR;9719
2020;Insgesamt;500 bis unter 1000 EUR;11234
2020;Insgesamt;1000 bis unter 1250 EUR;6911
2020;Insgesamt;1250 bis unter 1500 EUR;6308
2020;Insgesamt;1500 bis unter 1750 EUR;6092
2020;Insgesamt;1750 bis unter 2000 EUR;5936
2020;Insgesamt;2000 bis unter 2500 EUR;9452
2020;Insgesamt;2500 bis unter 3000 EUR;5035
2020;Insgesamt;3000 bis unter 3500 EUR;3238
2020;Insgesamt;3500 EUR und mehr;5609
